cenario,modelo,classe,metric,value
conservador,RandomForest,0,precision,0.9235412474849095
conservador,RandomForest,0,recall,0.8225806451612904
conservador,RandomForest,0,f1-score,0.8701421800947867
conservador,RandomForest,1,precision,0.5796178343949044
conservador,RandomForest,1,recall,0.7822349570200573
conservador,RandomForest,1,f1-score,0.6658536585365854
conservador,LogisticRegression,0,precision,0.9235412474849095
conservador,LogisticRegression,0,recall,0.8225806451612904
conservador,LogisticRegression,0,f1-score,0.8701421800947867
conservador,LogisticRegression,1,precision,0.5796178343949044
conservador,LogisticRegression,1,recall,0.7822349570200573
conservador,LogisticRegression,1,f1-score,0.6658536585365854
moderado,RandomForest,0,precision,0.9245283018867925
moderado,RandomForest,0,recall,0.7903225806451613
moderado,RandomForest,0,f1-score,0.8521739130434782
moderado,RandomForest,1,precision,0.5420743639921722
moderado,RandomForest,1,recall,0.7936962750716332
moderado,RandomForest,1,f1-score,0.6441860465116279
moderado,LogisticRegression,0,precision,0.9259259259259259
moderado,LogisticRegression,0,recall,0.7840501792114696
moderado,LogisticRegression,0,f1-score,0.849102377486657
moderado,LogisticRegression,1,precision,0.5365384615384615
moderado,LogisticRegression,1,recall,0.7994269340974212
moderado,LogisticRegression,1,f1-score,0.6421173762945915
arrojado,RandomForest,0,precision,0.8977695167286245
arrojado,RandomForest,0,recall,0.8655913978494624
arrojado,RandomForest,0,f1-score,0.8813868613138686
arrojado,RandomForest,1,precision,0.6143958868894601
arrojado,RandomForest,1,recall,0.6848137535816619
arrojado,RandomForest,1,f1-score,0.6476964769647696
arrojado,LogisticRegression,0,precision,0.8952205882352942
arrojado,LogisticRegression,0,recall,0.8727598566308243
arrojado,LogisticRegression,0,f1-score,0.8838475499092558
arrojado,LogisticRegression,1,precision,0.623342175066313
arrojado,LogisticRegression,1,recall,0.673352435530086
arrojado,LogisticRegression,1,f1-score,0.6473829201101928
