variavel,threshold,precision,recall,f1_score
precipitation_probability_20km,0,0.5355244079265346,0.7942652329749104,0.6397228637413395
precipitation_probability_20km,5,0.5604044704630122,0.7548387096774194,0.6432498472816127
precipitation_probability_20km,10,0.5853232382061736,0.7204301075268817,0.6458868894601543
precipitation_probability_20km,15,0.6048237476808905,0.7010752688172043,0.649402390438247
precipitation_probability_20km,20,0.6342975206611571,0.6602150537634408,0.6469968387776607
precipitation_probability_20km,25,0.6451846488052136,0.6387096774193548,0.6419308357348703
precipitation_probability_20km,30,0.6527987897125568,0.6186379928315412,0.6352594773647405
precipitation_probability_20km,35,0.6666666666666666,0.5992831541218638,0.6311815779539449
precipitation_probability_20km,40,0.6926483613817538,0.560573476702509,0.6196513470681458
precipitation_probability_20km,45,0.7004651162790698,0.5397849462365591,0.6097165991902834
precipitation_probability_20km,50,0.7038123167155426,0.5161290322580645,0.5955334987593052
precipitation_probability_20km,55,0.7198321091290661,0.4917562724014337,0.5843270868824532
precipitation_probability_20km,60,0.7357142857142858,0.443010752688172,0.553020134228188
precipitation_probability_20km,65,0.7448979591836735,0.41863799283154124,0.5360256998623222
precipitation_probability_20km,70,0.7551299589603283,0.3956989247311828,0.5192850423330198
precipitation_probability_20km,75,0.7749627421758569,0.3727598566308244,0.5033881897386253
precipitation_probability_20km,80,0.8058076225045372,0.31827956989247314,0.4563206577595067
precipitation_probability_20km,85,0.823170731707317,0.2903225806451613,0.4292527821939587
precipitation_probability_20km,90,0.8351893095768375,0.26881720430107525,0.4067245119305857
precipitation_probability_20km,95,0.860655737704918,0.22580645161290322,0.3577512776831346
precipitation_probability_20km,100,0.0,0.0,0.0
