variavel,threshold,precision,recall,f1_score
lwe_precipitation_smooth_rate_maximum_55km,0.0,0.42761168962042323,0.9125448028673835,0.5823421774931381
lwe_precipitation_smooth_rate_maximum_55km,0.1,0.42761168962042323,0.9125448028673835,0.5823421774931381
lwe_precipitation_smooth_rate_maximum_55km,0.2,0.45203488372093026,0.8917562724014337,0.5999517723655655
lwe_precipitation_smooth_rate_maximum_55km,0.3,0.4743190661478599,0.8738351254480287,0.6148802017654477
lwe_precipitation_smooth_rate_maximum_55km,0.4,0.4975062344139651,0.8580645161290322,0.6298342541436464
lwe_precipitation_smooth_rate_maximum_55km,0.5,0.5133713283647523,0.839426523297491,0.6371055495103374
lwe_precipitation_smooth_rate_maximum_55km,0.6,0.5260729118597139,0.8172043010752689,0.6400898371701291
lwe_precipitation_smooth_rate_maximum_55km,0.7,0.537639630888781,0.7935483870967742,0.6409959467284309
lwe_precipitation_smooth_rate_maximum_55km,0.8,0.5503560528992879,0.7756272401433691,0.6438559952395121
lwe_precipitation_smooth_rate_maximum_55km,0.9,0.5612353567625133,0.7555555555555555,0.6440574396578063
lwe_precipitation_smooth_rate_maximum_55km,1.0,0.569060773480663,0.7383512544802867,0.6427457098283932
lwe_precipitation_smooth_rate_maximum_55km,1.1,0.5809798270893372,0.7225806451612903,0.6440894568690095
lwe_precipitation_smooth_rate_maximum_55km,1.2,0.5874626865671642,0.7053763440860215,0.641042345276873
lwe_precipitation_smooth_rate_maximum_55km,1.3,0.5963076923076923,0.6946236559139785,0.6417218543046358
lwe_precipitation_smooth_rate_maximum_55km,1.4,0.5994897959183674,0.6738351254480287,0.6344920688491393
lwe_precipitation_smooth_rate_maximum_55km,1.5,0.6060806345009914,0.657347670250896,0.6306740027510316
lwe_precipitation_smooth_rate_maximum_55km,1.6,0.6121463077984817,0.63584229390681,0.6237693389592124
lwe_precipitation_smooth_rate_maximum_55km,1.7,0.6129032258064516,0.6129032258064516,0.6129032258064516
lwe_precipitation_smooth_rate_maximum_55km,1.8,0.619645494830133,0.6014336917562724,0.6104037831938887
lwe_precipitation_smooth_rate_maximum_55km,1.9,0.621867881548975,0.5870967741935483,0.6039823008849557
lwe_precipitation_smooth_rate_maximum_55km,2.0,0.6290196078431373,0.5749103942652329,0.600749063670412
lwe_precipitation_smooth_rate_maximum_55km,2.1,0.636144578313253,0.567741935483871,0.6
lwe_precipitation_smooth_rate_maximum_55km,2.2,0.6388429752066116,0.5541218637992832,0.5934740882917466
lwe_precipitation_smooth_rate_maximum_55km,2.3,0.6468590831918506,0.546236559139785,0.5923047026816946
lwe_precipitation_smooth_rate_maximum_55km,2.4,0.6532399299474606,0.5347670250896057,0.5880961765865195
lwe_precipitation_smooth_rate_maximum_55km,2.5,0.6612612612612613,0.5261648745519714,0.5860279441117765
lwe_precipitation_smooth_rate_maximum_55km,2.6,0.6642201834862386,0.5189964157706093,0.5826961770623742
lwe_precipitation_smooth_rate_maximum_55km,2.7,0.6710526315789473,0.5118279569892473,0.5807238714924766
lwe_precipitation_smooth_rate_maximum_55km,2.8,0.6776061776061776,0.5032258064516129,0.5775401069518716
lwe_precipitation_smooth_rate_maximum_55km,2.9,0.6812313803376365,0.4917562724014337,0.5711906744379683
lwe_precipitation_smooth_rate_maximum_55km,3.0,0.6848049281314168,0.47813620071684587,0.5631067961165048
lwe_precipitation_smooth_rate_maximum_55km,3.1,0.690677966101695,0.46738351254480287,0.5575032064985036
lwe_precipitation_smooth_rate_maximum_55km,3.2,0.6923913043478261,0.45663082437275987,0.5503239740820735
lwe_precipitation_smooth_rate_maximum_55km,3.3,0.6967670011148273,0.44802867383512546,0.5453752181500873
lwe_precipitation_smooth_rate_maximum_55km,3.4,0.6966932725199544,0.43799283154121865,0.5378521126760564
lwe_precipitation_smooth_rate_maximum_55km,3.5,0.7027027027027027,0.42867383512544804,0.5325022261798753
lwe_precipitation_smooth_rate_maximum_55km,3.6,0.7081339712918661,0.4243727598566308,0.5307037203047961
lwe_precipitation_smooth_rate_maximum_55km,3.7,0.7104294478527607,0.4150537634408602,0.5239819004524887
lwe_precipitation_smooth_rate_maximum_55km,3.8,0.7083854818523154,0.4057347670250896,0.5159525979945305
lwe_precipitation_smooth_rate_maximum_55km,3.9,0.7124352331606217,0.3942652329749104,0.5076142131979695
lwe_precipitation_smooth_rate_maximum_55km,4.0,0.7152317880794702,0.3870967741935484,0.5023255813953489
lwe_precipitation_smooth_rate_maximum_55km,4.1,0.7150610583446404,0.37777777777777777,0.49437148217636023
lwe_precipitation_smooth_rate_maximum_55km,4.2,0.7178423236514523,0.3720430107526882,0.49008498583569404
lwe_precipitation_smooth_rate_maximum_55km,4.3,0.7161016949152542,0.3634408602150538,0.48216833095577744
lwe_precipitation_smooth_rate_maximum_55km,4.4,0.7169540229885057,0.35770609318996416,0.47728359636537543
lwe_precipitation_smooth_rate_maximum_55km,4.5,0.72,0.34838709677419355,0.46956521739130436
lwe_precipitation_smooth_rate_maximum_55km,4.6,0.723404255319149,0.34121863799283153,0.4637116415002435
lwe_precipitation_smooth_rate_maximum_55km,4.7,0.723338485316847,0.33548387096774196,0.4583741429970617
lwe_precipitation_smooth_rate_maximum_55km,4.8,0.7264150943396226,0.3311827956989247,0.4549483013293944
lwe_precipitation_smooth_rate_maximum_55km,4.9,0.7310789049919485,0.3254480286738351,0.4503968253968254
lwe_precipitation_smooth_rate_maximum_55km,5.0,0.7400662251655629,0.3204301075268817,0.447223611805903
