variavel,threshold,precision,recall,f1_score
precipitation_probability_35km,0,0.4552129221732746,0.8888888888888888,0.6020878854090799
precipitation_probability_35km,5,0.5029686174724343,0.850179211469534,0.6320277111644018
precipitation_probability_35km,10,0.5374470089495996,0.817921146953405,0.648664013644116
precipitation_probability_35km,15,0.5675815639564992,0.785663082437276,0.6590499098015634
precipitation_probability_35km,20,0.5960227272727273,0.7519713261648745,0.6649762282091918
precipitation_probability_35km,25,0.6250783699059561,0.7146953405017921,0.6668896321070235
precipitation_probability_35km,30,0.6460597826086957,0.6817204301075269,0.6634112312521799
precipitation_probability_35km,35,0.663510560815732,0.6530465949820788,0.6582369942196532
precipitation_probability_35km,40,0.6815336463223787,0.6243727598566309,0.6517022072577628
precipitation_probability_35km,45,0.696917808219178,0.5835125448028674,0.6351931330472103
precipitation_probability_35km,50,0.713091922005571,0.5505376344086022,0.6213592233009708
precipitation_probability_35km,55,0.7311608961303462,0.5146953405017921,0.6041228439209088
precipitation_probability_35km,60,0.7544642857142857,0.4845878136200717,0.5901353120907901
precipitation_probability_35km,65,0.7827715355805244,0.44946236559139785,0.5710382513661202
precipitation_probability_35km,70,0.8025210084033614,0.410752688172043,0.5433854907539118
precipitation_probability_35km,75,0.8231511254019293,0.36702508960573477,0.5076846802181457
precipitation_probability_35km,80,0.8351449275362319,0.33046594982078853,0.47354904982023627
precipitation_probability_35km,85,0.8586956521739131,0.2831541218637993,0.42587601078167114
precipitation_probability_35km,90,0.8710526315789474,0.23727598566308244,0.37295774647887325
precipitation_probability_35km,95,0.8904593639575972,0.18064516129032257,0.300357568533969
precipitation_probability_35km,100,0.0,0.0,0.0
