variavel,threshold,precision,recall,f1_score
precipitation_probability_55km,25.0,0.635673624288425,0.7204301075268817,0.6754032258064516
precipitation_probability_35km,25.0,0.6250783699059561,0.7146953405017921,0.6668896321070235
lwe_precipitation_smooth_rate_maximum_20km,0.4,0.6382550335570469,0.6817204301075269,0.6592720970537261
lwe_precipitation_smooth_rate_maximum_35km,0.5,0.5473170731707317,0.8043010752688172,0.6513788098693759
precipitation_probability_20km,15.0,0.6048237476808905,0.7010752688172043,0.649402390438247
lwe_precipitation_smooth_rate_maximum_55km,1.1,0.5809798270893372,0.7225806451612903,0.6440894568690095
lwe_precipitation_smooth_rate_maximum_10km,0.0,0.5887555274794694,0.668100358422939,0.6259234385493619
precipitation_probability_10km,0.0,0.5887555274794694,0.668100358422939,0.6259234385493619
lwe_precipitation_smooth_rate,0.0,0.6907103825136612,0.45304659498207883,0.5471861471861472
lwe_precipitation_smooth_rate_minimum_10km,0.0,0.8114406779661016,0.2745519713261649,0.4102838778789502
lwe_precipitation_smooth_rate_minimum_20km,0.0,0.8786885245901639,0.1921146953405018,0.31529411764705884
lwe_precipitation_smooth_rate_minimum_35km,0.0,0.9425287356321839,0.11756272401433691,0.20905035054174634
lwe_precipitation_smooth_rate_minimum_55km,0.0,0.9117647058823529,0.044444444444444446,0.08475734791524266
