variavel,threshold,precision,recall,f1_score
lwe_precipitation_smooth_rate_minimum_20km,0.0,0.8786885245901639,0.1921146953405018,0.31529411764705884
lwe_precipitation_smooth_rate_minimum_20km,0.1,0.8786885245901639,0.1921146953405018,0.31529411764705884
lwe_precipitation_smooth_rate_minimum_20km,0.2,0.8898678414096917,0.14480286738351256,0.24907521578298397
lwe_precipitation_smooth_rate_minimum_20km,0.3,0.9222222222222223,0.11899641577060932,0.21079365079365078
lwe_precipitation_smooth_rate_minimum_20km,0.4,0.9225806451612903,0.1025089605734767,0.18451612903225806
lwe_precipitation_smooth_rate_minimum_20km,0.5,0.9333333333333333,0.09032258064516129,0.16470588235294117
lwe_precipitation_smooth_rate_minimum_20km,0.6,0.940677966101695,0.07956989247311828,0.14672835426305353
lwe_precipitation_smooth_rate_minimum_20km,0.7,0.941747572815534,0.06953405017921147,0.1295060080106809
lwe_precipitation_smooth_rate_minimum_20km,0.8,0.9438202247191011,0.060215053763440864,0.11320754716981132
lwe_precipitation_smooth_rate_minimum_20km,0.9,0.9493670886075949,0.053763440860215055,0.10176390773405698
lwe_precipitation_smooth_rate_minimum_20km,1.0,0.96,0.05161290322580645,0.09795918367346938
lwe_precipitation_smooth_rate_minimum_20km,1.1,0.9552238805970149,0.045878136200716846,0.08755129958960328
lwe_precipitation_smooth_rate_minimum_20km,1.2,0.9523809523809523,0.043010752688172046,0.0823045267489712
lwe_precipitation_smooth_rate_minimum_20km,1.3,0.9661016949152542,0.04086021505376344,0.07840440165061899
lwe_precipitation_smooth_rate_minimum_20km,1.4,0.9607843137254902,0.03512544802867384,0.0677731673582296
lwe_precipitation_smooth_rate_minimum_20km,1.5,0.9574468085106383,0.03225806451612903,0.06241331484049931
lwe_precipitation_smooth_rate_minimum_20km,1.6,0.9545454545454546,0.030107526881720432,0.05837387074357193
lwe_precipitation_smooth_rate_minimum_20km,1.7,0.95,0.02724014336917563,0.0529616724738676
lwe_precipitation_smooth_rate_minimum_20km,1.8,0.9722222222222222,0.025089605734767026,0.04891684136967156
lwe_precipitation_smooth_rate_minimum_20km,1.9,0.9705882352941176,0.023655913978494623,0.04618614415675298
lwe_precipitation_smooth_rate_minimum_20km,2.0,0.967741935483871,0.021505376344086023,0.04207573632538569
lwe_precipitation_smooth_rate_minimum_20km,2.1,0.9655172413793104,0.02007168458781362,0.03932584269662921
lwe_precipitation_smooth_rate_minimum_20km,2.2,0.9642857142857143,0.01935483870967742,0.03794799718903725
lwe_precipitation_smooth_rate_minimum_20km,2.3,0.9629629629629629,0.01863799283154122,0.03656821378340366
lwe_precipitation_smooth_rate_minimum_20km,2.4,0.96,0.017204301075268817,0.03380281690140845
lwe_precipitation_smooth_rate_minimum_20km,2.5,0.9565217391304348,0.015770609318996417,0.031029619181946404
lwe_precipitation_smooth_rate_minimum_20km,2.6,0.9545454545454546,0.015053763440860216,0.029640084685956247
lwe_precipitation_smooth_rate_minimum_20km,2.7,0.9545454545454546,0.015053763440860216,0.029640084685956247
lwe_precipitation_smooth_rate_minimum_20km,2.8,0.9523809523809523,0.014336917562724014,0.02824858757062147
lwe_precipitation_smooth_rate_minimum_20km,2.9,0.95,0.013620071684587814,0.02685512367491166
lwe_precipitation_smooth_rate_minimum_20km,3.0,0.9473684210526315,0.012903225806451613,0.02545968882602546
lwe_precipitation_smooth_rate_minimum_20km,3.1,0.9444444444444444,0.012186379928315413,0.024062278839348902
lwe_precipitation_smooth_rate_minimum_20km,3.2,0.9411764705882353,0.011469534050179211,0.0226628895184136
lwe_precipitation_smooth_rate_minimum_20km,3.3,1.0,0.01003584229390681,0.0198722498225692
lwe_precipitation_smooth_rate_minimum_20km,3.4,1.0,0.008602150537634409,0.017057569296375266
lwe_precipitation_smooth_rate_minimum_20km,3.5,1.0,0.008602150537634409,0.017057569296375266
lwe_precipitation_smooth_rate_minimum_20km,3.6,1.0,0.008602150537634409,0.017057569296375266
lwe_precipitation_smooth_rate_minimum_20km,3.7,1.0,0.008602150537634409,0.017057569296375266
lwe_precipitation_smooth_rate_minimum_20km,3.8,1.0,0.007885304659498209,0.015647226173541962
lwe_precipitation_smooth_rate_minimum_20km,3.9,1.0,0.007885304659498209,0.015647226173541962
lwe_precipitation_smooth_rate_minimum_20km,4.0,1.0,0.007168458781362007,0.014234875444839857
lwe_precipitation_smooth_rate_minimum_20km,4.1,1.0,0.0064516129032258064,0.01282051282051282
lwe_precipitation_smooth_rate_minimum_20km,4.2,1.0,0.005734767025089606,0.011404133998574484
lwe_precipitation_smooth_rate_minimum_20km,4.3,1.0,0.004301075268817204,0.008565310492505354
lwe_precipitation_smooth_rate_minimum_20km,4.4,1.0,0.0035842293906810036,0.007142857142857143
lwe_precipitation_smooth_rate_minimum_20km,4.5,1.0,0.0035842293906810036,0.007142857142857143
lwe_precipitation_smooth_rate_minimum_20km,4.6,1.0,0.0035842293906810036,0.007142857142857143
lwe_precipitation_smooth_rate_minimum_20km,4.7,1.0,0.0035842293906810036,0.007142857142857143
lwe_precipitation_smooth_rate_minimum_20km,4.8,1.0,0.002867383512544803,0.005718370264474625
lwe_precipitation_smooth_rate_minimum_20km,4.9,1.0,0.002150537634408602,0.004291845493562232
lwe_precipitation_smooth_rate_minimum_20km,5.0,1.0,0.002150537634408602,0.004291845493562232
