variavel,variavel_bin
precipitation_probability_55km,precipitation_probability_55km_bin
precipitation_probability_35km,precipitation_probability_35km_bin
lwe_precipitation_smooth_rate_maximum_20km,lwe_precipitation_smooth_rate_maximum_20km_bin
