variavel,variavel_bin
lwe_precipitation_smooth_rate_maximum_35km,lwe_precipitation_smooth_rate_maximum_35km_bin
lwe_precipitation_smooth_rate_maximum_55km,lwe_precipitation_smooth_rate_maximum_55km_bin
precipitation_probability_55km,precipitation_probability_55km_bin
