codEstacao,nomeEstacao,variavel,legenda,precision,recall,f1_score,roc_auc,correlacao_bisserial,t_stat,p_val,ordem
411820401A,Vila do Povo,lwe_precipitation_smooth_rate,Tx. de Precipitacao (mm/h),0.2107728337236534,0.5844155844155844,0.3098106712564544,0.7392587793372546,0.28234215507280946,6.3273166058308234,2.5549302744536535e-09,0
411820401A,Vila do Povo,lwe_precipitation_smooth_rate_minimum_10km,Tx. de Precipitacao (mm/h) Mín. em um Raio de 10km,0.25806451612903225,0.36363636363636365,0.3018867924528302,0.6558769145652553,0.24449456897652877,5.098418444078781,9.891125871942401e-07,1
411820401A,Vila do Povo,lwe_precipitation_smooth_rate_maximum_10km,Tx. de Precipitacao (mm/h) Màx. em um Raio de 10km,0.16536458333333334,0.8246753246753247,0.2754880694143167,0.8238478636460699,0.26143349329008075,7.846650656749905,6.144080388595918e-13,2
411820401A,Vila do Povo,precipitation_probability_10km,Probabilidade de Chuva (%) em uma Raio de 10km,0.16536458333333334,0.8246753246753247,0.2754880694143167,0.8203572399200202,0.3353775658343428,14.51071019640164,3.7576472821677047e-31,3
411820401A,Vila do Povo,lwe_precipitation_smooth_rate_maximum_20km,Tx. de Precipitacao (mm/h) Màx. em um Raio de 20km,0.13365853658536586,0.8896103896103896,0.23240033927056827,0.8447976724322015,0.28760681582809416,9.424149731785398,5.135588757203972e-17,4
411820401A,Vila do Povo,lwe_precipitation_smooth_rate_minimum_20km,Tx. de Precipitacao (mm/h) Mín. em um Raio de 20km,0.3333333333333333,0.2922077922077922,0.31141868512110726,0.6306963776134179,0.25544926846169747,4.802665881519427,3.6791715246040716e-06,5
411820401A,Vila do Povo,precipitation_probability_20km,Probabilidade de Chuva (%) em uma Raio de 20km,0.13365853658536586,0.8896103896103896,0.23240033927056827,0.8455960145982566,0.3567198831339591,16.503016833936577,1.0660386557346593e-36,6
411820401A,Vila do Povo,lwe_precipitation_smooth_rate_minimum_35km,Tx. de Precipitacao (mm/h) Mín. em um Raio de 35km,0.44594594594594594,0.21428571428571427,0.2894736842105263,0.5999917496554268,0.25113202212923835,3.7433074624598337,0.000256350160624464,7
411820401A,Vila do Povo,lwe_precipitation_smooth_rate_maximum_35km,Tx. de Precipitacao (mm/h) Màx. em um Raio de 35km,0.11019490254872563,0.9545454545454546,0.1975806451612903,0.8616126026439928,0.29432545466323234,9.1697827888352,2.4755180335172786e-16,8
411820401A,Vila do Povo,precipitation_probability_35km,Probabilidade de Chuva (%) em uma Raio de 35km,0.11019490254872563,0.9545454545454546,0.1975806451612903,0.8676972317667385,0.36664341263316225,18.879373129572087,2.6384801465791717e-43,9
411820401A,Vila do Povo,lwe_precipitation_smooth_rate_minimum_55km,Tx. de Precipitacao (mm/h) Mín. em um Raio de 55km,0.5,0.09740259740259741,0.16304347826086957,0.5459968842816377,0.18630757485758337,2.518504766088127,0.012812682488105747,10
411820401A,Vila do Povo,lwe_precipitation_smooth_rate_maximum_55km,Tx. de Precipitacao (mm/h) Màx. em um Raio de 55km,0.10177595628415301,0.9675324675324676,0.1841779975278121,0.8615677110632267,0.30094128866447756,9.05723199209166,4.963858068755354e-16,11
411820401A,Vila do Povo,precipitation_probability_55km,Probabilidade de Chuva (%) em uma Raio de 55km,0.10177595628415301,0.9675324675324676,0.1841779975278121,0.8762266321122824,0.38636005714900956,19.133285105939816,8.128485569709982e-44,12
411820402A,Ponta do Caju,lwe_precipitation_smooth_rate,Tx. de Precipitacao (mm/h),0.19602977667493796,0.626984126984127,0.29867674858223064,0.766833004280703,0.30918608618424526,5.936826147947836,2.6422632076054327e-08,0
411820402A,Ponta do Caju,lwe_precipitation_smooth_rate_minimum_10km,Tx. de Precipitacao (mm/h) Mín. em um Raio de 10km,0.263681592039801,0.42063492063492064,0.3241590214067278,0.6866483121713247,0.3349889147920534,5.100446399752859,1.219848012599104e-06,1
411820402A,Ponta do Caju,lwe_precipitation_smooth_rate_maximum_10km,Tx. de Precipitacao (mm/h) Màx. em um Raio de 10km,0.1422475106685633,0.7936507936507936,0.24125452352231605,0.8253047510369685,0.3063576683526871,7.724664268539539,2.9425529948728057e-12,2
411820402A,Ponta do Caju,precipitation_probability_10km,Probabilidade de Chuva (%) em uma Raio de 10km,0.1422475106685633,0.7936507936507936,0.24125452352231605,0.819250484522451,0.34083714754116634,14.013568794765645,7.683696142151516e-28,3
411820402A,Ponta do Caju,lwe_precipitation_smooth_rate_maximum_20km,Tx. de Precipitacao (mm/h) Màx. em um Raio de 20km,0.11700975081256772,0.8571428571428571,0.20591039084842708,0.8417951179457456,0.31487057323789847,7.599115109804067,5.7844912281289064e-12,4
411820402A,Ponta do Caju,lwe_precipitation_smooth_rate_minimum_20km,Tx. de Precipitacao (mm/h) Mín. em um Raio de 20km,0.33858267716535434,0.3412698412698413,0.33992094861660077,0.6567332017122812,0.33530100890805137,4.645262274471569,8.465940529187241e-06,5
411820402A,Ponta do Caju,precipitation_probability_20km,Probabilidade de Chuva (%) em uma Raio de 20km,0.11700975081256772,0.8571428571428571,0.20591039084842708,0.8422162449359103,0.3550206431237658,15.069596460900051,1.951082401588367e-30,6
411820402A,Ponta do Caju,lwe_precipitation_smooth_rate_minimum_35km,Tx. de Precipitacao (mm/h) Mín. em um Raio de 35km,0.42857142857142855,0.23809523809523808,0.30612244897959184,0.6118990261249676,0.28977849016547,3.839198863179586,0.00019496881106188983,7
